Comment,Designator,Footprint,LCSC
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
Polyfuse,F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C151162
10uF,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-HandSoldering,C165948
10kΩ,R3;R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
22Ω,R1;R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17561
22Pf,C2;C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1804
5.1kΩ,R5;R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834
MX-NoLED,MX1;MX2;MX3,SW_MX_HS_1u,C2803348
PRTR5V0U2X,U2,SOT143B,C2827688
1uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
0.1uF,C4;C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
ATmega16U2-A,U1,TQFP-32_7x7mm_P0.8mm,C59019
D_Small,D1;D2;D3,D_SOD-123,C81598
