Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.09375,-111.125,90.0,top
C2,22Pf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.40633,-103.29367,135.0,top
C3,22Pf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.79367,-108.90633,-45.0,top
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,96.8375,-113.50625,90.0,top
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.09375,-107.15625,-90.0,top
C7,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.3,-101.6,-90.0,top
D1,D_Small,D_SOD-123,96.8375,-88.9,90.0,top
D2,D_Small,D_SOD-123,115.8875,-88.9,90.0,top
D3,D_Small,D_SOD-123,134.9375,-88.9,90.0,top
F1,Polyfuse,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,112.7125,-72.23125,-90.0,top
MX1,MX-NoLED,SW_MX_HS_1u,88.10625,-88.9,0.0,bottom
MX2,MX-NoLED,SW_MX_HS_1u,107.15625,-88.9,0.0,bottom
MX3,MX-NoLED,SW_MX_HS_1u,126.20625,-88.9,0.0,bottom
R1,22Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,104.698766,-72.307483,-90.0,top
R2,22Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,107.080016,-72.307483,-90.0,top
R3,10kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.0625,-118.8,180.0,top
R4,10kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.63125,-119.85625,135.0,top
R5,5.1kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,109.5375,-72.23125,-90.0,top
R6,5.1kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100.0125,-72.23125,-90.0,top
U1,ATmega16U2-A,TQFP-32_7x7mm_P0.8mm,107.15625,-114.83125,225.0,top
U2,PRTR5V0U2X,SOT143B,100.0125,-76.2,90.0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,107.15625,-58.915,180.0,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,101.6,-106.1,-135.0,top
